iter	RMSE
0	34075.87576
1	33482.32148
2	32909.23004
3	32366.67209
4	31838.23855
5	31340.93286
6	30872.13717
7	30422.60195
8	29963.54504
9	29546.62934
10	29143.43038
11	28759.67351
12	28386.15189
13	28022.45355
14	27679.27351
15	27350.98166
16	27028.91137
17	26729.99658
18	26433.17483
19	26155.60403
20	25894.68669
21	25624.38591
22	25379.0589
23	25136.48359
24	24908.77857
25	24703.2298
26	24495.62445
27	24302.22754
28	24104.72157
29	23906.12841
30	23731.27733
31	23557.20356
32	23382.95906
33	23230.51652
34	23082.99862
35	22936.02863
36	22792.77058
37	22648.63186
38	22532.34867
39	22405.15131
40	22282.70545
41	22163.41466
42	22050.16001
43	21947.64019
44	21839.16603
45	21739.29338
46	21631.63563
47	21530.43683
48	21430.21273
49	21347.64317
50	21264.79949
51	21176.61816
52	21087.72363
53	20994.20185
54	20907.70994
55	20824.93207
56	20753.65199
57	20677.75716
58	20607.71115
59	20535.06326
60	20467.33337
61	20412.59789
62	20337.94064
63	20275.53636
64	20220.7788
65	20160.98362
66	20083.13019
67	20015.62658
68	19960.07345
69	19903.35873
70	19850.47715
71	19804.89031
72	19758.03146
73	19699.48047
74	19645.61956
75	19609.8306
76	19559.96621
77	19509.17271
78	19470.51672
79	19428.51108
80	19384.31916
81	19346.20581
82	19307.47032
83	19272.93795
84	19232.66559
85	19192.47829
86	19167.75552
87	19128.27032
88	19100.78175
89	19066.67948
90	19026.01961
91	18985.58728
92	18945.52818
93	18911.62517
94	18881.51603
95	18856.28653
96	18834.44354
97	18802.17702
98	18769.77236
99	18744.42689
100	18706.61735
101	18678.71042
102	18652.61474
103	18621.54485
104	18580.95291
105	18553.30991
106	18516.34783
107	18497.22073
108	18478.6007
109	18452.28825
110	18430.55206
111	18403.14501
112	18378.03883
113	18352.70004
114	18332.23001
115	18301.94797
116	18288.36908
117	18263.5239
118	18248.50711
119	18230.77266
120	18222.17891
121	18193.07984
122	18172.82595
123	18152.90424
124	18126.48187
125	18100.62935
126	18076.78333
127	18063.19633
128	18036.73619
129	18011.81226
130	17989.98276
131	17976.44931
132	17943.30265
133	17924.9874
134	17914.07788
135	17897.08236
136	17876.08139
137	17836.76535
138	17816.34609
139	17789.24014
140	17772.05106
141	17758.91444
142	17739.51946
143	17719.65072
144	17700.23212
145	17682.24986
146	17663.93524
147	17653.78456
148	17636.2369
149	17614.79399
150	17590.66952
151	17578.88858
152	17545.71086
153	17525.69996
154	17516.57843
155	17505.24496
156	17490.78693
157	17480.04239
158	17463.87073
159	17451.57066
160	17442.84729
161	17422.51884
162	17401.0572
163	17386.00865
164	17373.93482
165	17364.30972
166	17349.39709
167	17330.01921
168	17316.90884
169	17299.81401
170	17288.43691
171	17270.58324
172	17263.67983
173	17248.17229
174	17237.62782
175	17229.10615
176	17215.74666
177	17205.9381
178	17194.66021
179	17176.46284
180	17164.03681
181	17153.26451
182	17135.95434
183	17120.75859
184	17115.0215
185	17106.05747
186	17104.59566
187	17077.15118
188	17058.87676
189	17045.84141
190	17040.41271
191	17030.80149
192	17017.55502
193	17008.63246
194	16999.95884
195	16988.43994
196	16971.28691
197	16963.09771
198	16943.31369
199	16930.82522
200	16923.8603
201	16909.90886
202	16894.49923
203	16883.03688
204	16864.98039
205	16861.10356
206	16847.1189
207	16845.07135
208	16834.34455
209	16826.45185
210	16822.73102
211	16821.55723
212	16813.84473
213	16809.30996
214	16798.46305
215	16792.64529
216	16776.88815
217	16771.19718
218	16763.90219
219	16752.78573
220	16745.88288
221	16741.78245
222	16732.44039
223	16718.72591
224	16694.09454
225	16684.27065
226	16677.88532
227	16657.17399
228	16645.35601
229	16643.79928
230	16641.71763
231	16634.07529
232	16621.69484
233	16608.6603
234	16607.85501
235	16593.11076
236	16578.41551
237	16561.81367
238	16554.03739
239	16544.97109
240	16529.44887
241	16517.45886
242	16515.61987
243	16512.99488
244	16504.5708
245	16491.78922
246	16478.20861
247	16472.3511
248	16460.87675
249	16458.08034
250	16448.17393
251	16437.53396
252	16433.36495
253	16432.10568
254	16431.25999
255	16430.68168
256	16411.6138
257	16406.70841
258	16398.36706
259	16390.89106
260	16372.04941
261	16363.42522
262	16358.2267
263	16350.03025
264	16332.77003
265	16323.41429
266	16313.54899
267	16308.0264
268	16306.77682
269	16304.00366
270	16297.61594
271	16285.2276
272	16262.95833
273	16252.26132
274	16242.55063
275	16240.02439
276	16239.70816
277	16233.45924
278	16230.21755
279	16224.09278
280	16208.16583
281	16204.70554
282	16198.42362
283	16186.19689
284	16180.87609
285	16180.8379
286	16165.14356
287	16145.98065
288	16134.59334
289	16131.58289
290	16124.96167
291	16116.36713
292	16109.7013
293	16094.30531
294	16087.95297
295	16085.69355
296	16085.11904
297	16079.73917
298	16068.30321
299	16068.18357
300	16044.79921
301	16043.05069
302	16026.11274
303	16026.00393
304	16020.75249
305	16018.98076
306	16014.05114
307	16012.06343
308	16008.05296
309	16004.49449
310	15999.29349
311	15986.86895
312	15985.88632
313	15977.28659
314	15975.22382
315	15974.15881
316	15965.19756
317	15965.11069
318	15964.04759
319	15949.22818
320	15937.47628
321	15930.61492
322	15924.08001
323	15920.94609
324	15914.60652
325	15913.35884
326	15910.67764
327	15904.29944
328	15901.55885
329	15894.45219
330	15885.08724
331	15877.40761
332	15863.03703
333	15855.47143
334	15849.16458
335	15840.55564
336	15835.54619
337	15829.90368
338	15822.04887
339	15820.93883
340	15811.27762
341	15790.74793
342	15790.01398
343	15785.25468
344	15774.44003
345	15767.09928
346	15766.81711
347	15766.80318
348	15753.6636
349	15752.94187
350	15752.20791
351	15750.06248
352	15739.12943
353	15738.79877
354	15724.60715
355	15720.03419
356	15717.74634
357	15712.48101
358	15700.01929
359	15692.21671
360	15690.36326
361	15686.45874
362	15680.61372
363	15673.18785
364	15668.9145
365	15665.54985
366	15665.25709
367	15658.55618
368	15653.39288
369	15646.81853
370	15637.21483
371	15631.9865
372	15620.82928
373	15617.05773
374	15604.03846
375	15603.91702
376	15597.32534
377	15589.71359
378	15575.49456
379	15565.43312
380	15563.57075
381	15562.48728
382	15559.11285
383	15555.38813
384	15544.65736
385	15538.38431
386	15531.35726
387	15530.95056
388	15524.11739
389	15523.50175
390	15519.87908
391	15519.16683
392	15518.63506
393	15509.32384
394	15509.07416
395	15508.90771
396	15497.31279
397	15489.50562
398	15482.42445
399	15476.5698
400	15474.42342
401	15474.42165
402	15462.29379
403	15460.92612
404	15459.91362
405	15459.62051
406	15455.40094
407	15447.51659
408	15427.02085
409	15420.21731
410	15417.12615
411	15409.22667
412	15408.86487
413	15387.22005
414	15387.21915
415	15386.22857
416	15358.82304
417	15358.82214
418	15356.93382
419	15347.71149
420	15334.83693
421	15334.83783
422	15330.04739
423	15320.80977
424	15320.68429
425	15311.69661
426	15311.69661
427	15311.69661
428	15307.18779
429	15307.11513
430	15301.54607
431	15295.9714
432	15284.1215
433	15283.54381
434	15283.54292
435	15272.01336
436	15270.2312
437	15270.2312
438	15270.2312
439	15260.16285
440	15247.03966
441	15239.90259
442	15230.93305
443	15229.57527
444	15222.37408
445	15220.31185
446	15217.09075
447	15217.00412
448	15207.30596
449	15207.30596
450	15201.54408
451	15199.81599
452	15197.97206
453	15197.97206
454	15194.89894
455	15194.31605
456	15194.12266
457	15194.07566
458	15194.07566
459	15190.19454
460	15186.68043
461	15179.86868
462	15179.2228
463	15179.22189
464	15178.2693
465	15174.76781
466	15171.21619
467	15168.09737
468	15168.09691
469	15168.04169
470	15161.14866
471	15144.5495
472	15130.04689
473	15125.45214
474	15113.45401
475	15113.45401
476	15108.77878
477	15106.29655
478	15098.56913
479	15095.90603
