iter	Passed	Remaining
0	42	170827
1	83	166606
2	124	166035
3	158	158204
4	201	161245
5	244	162885
6	286	163346
7	328	164136
8	371	164953
9	412	164779
10	454	164916
11	496	164908
12	538	165145
13	581	165559
14	623	165535
15	664	165390
16	705	165242
17	746	165087
18	788	165286
19	838	166930
20	880	166741
21	922	166875
22	965	166983
23	1006	166800
24	1038	165072
25	1070	163657
26	1112	163731
27	1153	163640
28	1195	163634
29	1237	163718
30	1279	163786
31	1320	163780
32	1364	164009
33	1405	163970
34	1447	163994
35	1489	164021
36	1531	163986
37	1573	164057
38	1615	164044
39	1657	164082
40	1699	164116
41	1742	164191
42	1783	164122
43	1825	164146
44	1869	164272
45	1911	164345
46	1954	164401
47	1996	164345
48	2038	164380
49	2079	164301
50	2124	164478
51	2168	164614
52	2210	164649
53	2260	165175
54	2302	165172
55	2345	165218
56	2388	165225
57	2430	165219
58	2472	165161
59	2514	165112
60	2556	165052
61	2597	165009
62	2639	164962
63	2681	164886
64	2723	164867
65	2764	164786
66	2807	164794
67	2848	164704
68	2889	164620
69	2931	164593
70	2973	164546
71	3014	164476
72	3056	164438
73	3098	164394
74	3140	164373
75	3182	164333
76	3230	164580
77	3277	164781
78	3322	164910
79	3369	165110
80	3411	165045
81	3452	164965
82	3494	164914
83	3538	164959
84	3579	164887
85	3623	164914
86	3665	164850
87	3708	164838
88	3749	164783
89	3791	164705
90	3833	164673
91	3875	164642
92	3917	164585
93	3949	164121
94	3990	164036
95	4031	163955
96	4072	163875
97	4114	163830
98	4155	163757
99	4198	163739
100	4240	163700
101	4282	163648
102	4327	163715
103	4368	163657
104	4411	163653
105	4455	163667
106	4497	163633
107	4538	163539
108	4578	163451
109	4621	163424
110	4663	163377
111	4705	163342
112	4736	162916
113	4767	162516
114	4808	162445
115	4851	162429
116	4892	162366
117	4933	162305
118	4975	162275
119	5032	162705
120	5072	162607
121	5114	162580
122	5156	162538
123	5197	162476
124	5240	162443
125	5282	162430
126	5324	162368
127	5365	162311
128	5408	162303
129	5451	162282
130	5493	162235
131	5533	162155
132	5575	162113
133	5616	162049
134	5658	162004
135	5690	161670
136	5732	161636
137	5774	161611
138	5815	161548
139	5858	161516
140	5899	161470
141	5941	161425
142	5983	161387
143	6027	161391
144	6068	161346
145	6109	161274
146	6151	161226
147	6173	160677
148	6215	160633
149	6257	160605
150	6299	160563
151	6340	160509
152	6382	160470
153	6424	160437
154	6455	160134
155	6487	159848
156	6527	159790
157	6568	159728
158	6609	159664
159	6650	159604
160	6691	159546
161	6734	159540
162	6775	159493
163	6817	159455
164	6859	159436
165	6901	159398
166	6943	159362
167	6984	159315
168	7025	159254
169	7067	159220
170	7108	159180
171	7150	159147
172	7192	159102
173	7234	159085
174	7265	158812
175	7285	158302
176	7327	158261
177	7369	158237
178	7410	158193
179	7428	157645
180	7474	157709
181	7524	157848
182	7570	157898
183	7617	157983
184	7644	157648
185	7692	157734
186	7703	157073
187	7749	157131
188	7791	157112
189	7833	157088
190	7874	157042
191	7917	157036
192	7959	156998
193	8000	156956
194	8031	156714
195	8072	156671
196	8113	156634
197	8155	156599
198	8197	156569
199	8239	156543
200	8279	156486
201	8320	156437
202	8361	156401
203	8403	156370
204	8445	156340
205	8453	155696
206	8494	155656
207	8501	154984
208	8541	154932
209	8560	154494
210	8579	154060
211	8588	153466
212	8629	153430
213	8670	153390
214	8712	153378
215	8754	153365
216	8795	153339
217	8815	152935
218	8856	152913
219	8898	152891
220	8938	152847
221	8970	152660
222	9012	152641
223	9053	152609
224	9095	152602
225	9139	152626
226	9181	152613
227	9224	152608
228	9268	152622
229	9300	152441
230	9341	152412
231	9381	152367
232	9422	152342
233	9464	152317
234	9473	151782
235	9515	151770
236	9557	151745
237	9600	151754
238	9640	151714
239	9682	151686
240	9724	151679
241	9765	151654
242	9774	151128
243	9817	151119
244	9858	151102
245	9900	151089
246	9942	151063
247	9983	151046
248	10026	151034
249	10056	150847
250	10097	150821
251	10139	150805
252	10181	150788
253	10188	150260
254	10209	149933
255	10216	149420
256	10259	149424
257	10300	149392
258	10341	149374
259	10374	149227
260	10416	149222
261	10457	149198
262	10498	149178
263	10539	149146
264	10580	149126
265	10622	149109
266	10664	149103
267	10683	148777
268	10724	148746
269	10732	148272
270	10751	147945
271	10793	147932
272	10836	147937
273	10877	147920
274	10918	147891
275	10948	147731
276	10956	147257
277	10997	147245
278	11039	147229
279	11058	146923
280	11100	146912
281	11109	146476
282	11150	146448
283	11191	146429
284	11231	146401
285	11237	145930
286	11281	145946
287	11323	145946
288	11364	145927
289	11373	145507
290	11414	145488
291	11456	145476
292	11498	145477
293	11540	145471
294	11581	145460
295	11613	145322
